parameter,sparsity,top1,top5,loss
module.model.0.0.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.0.0.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.0.0.weight,0.1,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.0.0.weight,0.15000000000000002,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.0.0.weight,0.2,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.0.0.weight,0.25,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.0.0.weight,0.30000000000000004,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.0.0.weight,0.35000000000000003,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.0.0.weight,0.4,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.0.0.weight,0.45,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.0.0.weight,0.5,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.0.0.weight,0.55,68.78800000000001,88.68199999999999,1.27862630860538
module.model.0.0.weight,0.6000000000000001,68.774,88.664,1.278824598357386
module.model.0.0.weight,0.65,68.754,88.70400000000001,1.279239897217069
module.model.0.0.weight,0.7000000000000001,68.63600000000001,88.598,1.2835280467965167
module.model.0.0.weight,0.75,67.992,88.25,1.311978357939087
module.model.0.0.weight,0.8,65.642,86.74,1.4166465137077846
module.model.0.0.weight,0.8500000000000001,64.154,85.664,1.4932671773190405
module.model.0.0.weight,0.9,52.245999999999995,77.094,2.0750519748853176
module.model.1.0.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.0.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.0.weight,0.1,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.0.weight,0.15000000000000002,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.0.weight,0.2,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.0.weight,0.25,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.0.weight,0.30000000000000004,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.0.weight,0.35000000000000003,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.0.weight,0.4,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.0.weight,0.45,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.0.weight,0.5,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.0.weight,0.55,68.78999999999999,88.68199999999999,1.2786215872180706
module.model.1.0.weight,0.6000000000000001,68.752,88.622,1.2800917569167758
module.model.1.0.weight,0.65,68.584,88.64800000000001,1.2858110351526013
module.model.1.0.weight,0.7000000000000001,62.446,84.476,1.5731491102856028
module.model.1.0.weight,0.75,56.391999999999996,79.762,1.880103515118969
module.model.1.0.weight,0.8,20.120000000000005,38.864,4.569889532060038
module.model.1.0.weight,0.8500000000000001,14.500000000000002,30.593999999999998,5.3076909354754855
module.model.1.0.weight,0.9,7.277999999999995,17.379999999999995,6.5261166557973755
module.model.1.3.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.3.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.3.weight,0.1,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.3.weight,0.15000000000000002,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.3.weight,0.2,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.3.weight,0.25,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.3.weight,0.30000000000000004,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.3.weight,0.35000000000000003,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.3.weight,0.4,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.3.weight,0.45,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.3.weight,0.5,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.3.weight,0.55,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.1.3.weight,0.6000000000000001,68.78800000000001,88.68199999999999,1.2786264123052964
module.model.1.3.weight,0.65,68.786,88.684,1.278595298680724
module.model.1.3.weight,0.7000000000000001,68.728,88.658,1.279664342652777
module.model.1.3.weight,0.75,68.714,88.628,1.2818792360473659
module.model.1.3.weight,0.8,68.118,88.292,1.304223467652895
module.model.1.3.weight,0.8500000000000001,67.532,87.88,1.3323239681063868
module.model.1.3.weight,0.9,55.018,78.412,1.9633056065257712
module.model.2.0.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.2.0.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.2.0.weight,0.1,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.2.0.weight,0.15000000000000002,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.2.0.weight,0.2,68.794,88.646,1.2797481657899152
module.model.2.0.weight,0.25,68.802,88.678,1.2793029606038218
module.model.2.0.weight,0.30000000000000004,68.798,88.68199999999999,1.2803912354367117
module.model.2.0.weight,0.35000000000000003,67.44,87.656,1.3485563259039604
module.model.2.0.weight,0.4,63.308,84.822,1.5473967699372033
module.model.2.0.weight,0.45,62.548,84.372,1.5791561749516703
module.model.2.0.weight,0.5,61.559999999999995,83.598,1.624460036657295
module.model.2.0.weight,0.55,52.995999999999995,76.42,2.0819017263699537
module.model.2.0.weight,0.6000000000000001,50.73,75.166,2.1797656395605625
module.model.2.0.weight,0.65,35.324,60.162000000000006,3.174423281635558
module.model.2.0.weight,0.7000000000000001,16.859999999999996,34.818000000000005,4.9725669999511855
module.model.2.0.weight,0.75,6.703999999999999,15.732000000000001,6.793026720990944
module.model.2.0.weight,0.8,2.410000000000001,6.203999999999999,8.199978219003098
module.model.2.0.weight,0.8500000000000001,1.6340000000000021,4.978000000000005,8.295218236592346
module.model.2.0.weight,0.9,0.7000000000000006,2.6660000000000017,7.959210103871871
module.model.2.3.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.2.3.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.2.3.weight,0.1,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.2.3.weight,0.15000000000000002,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.2.3.weight,0.2,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.2.3.weight,0.25,68.78800000000001,88.68199999999999,1.2786261942617745
module.model.2.3.weight,0.30000000000000004,68.794,88.72,1.2782336075086982
module.model.2.3.weight,0.35000000000000003,68.824,88.702,1.2781765033700037
module.model.2.3.weight,0.4,68.76599999999999,88.728,1.2780810407533938
module.model.2.3.weight,0.45,68.674,88.64800000000001,1.2829633079925358
module.model.2.3.weight,0.5,68.388,88.47,1.2953425163821293
module.model.2.3.weight,0.55,68.436,88.472,1.2959751684446723
module.model.2.3.weight,0.6000000000000001,68.394,88.368,1.2961094504108237
module.model.2.3.weight,0.65,67.786,88.09400000000001,1.3249839816470528
module.model.2.3.weight,0.7000000000000001,67.456,87.88,1.3402109465428769
module.model.2.3.weight,0.75,66.764,87.33,1.3748283897127425
module.model.2.3.weight,0.8,63.48199999999999,85.304,1.5257480418195528
module.model.2.3.weight,0.8500000000000001,56.736,80.242,1.865579716100984
module.model.2.3.weight,0.9,40.738,65.378,2.8030466327861854
module.model.3.0.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.3.0.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.3.0.weight,0.1,68.784,88.68599999999999,1.2786600493959017
module.model.3.0.weight,0.15000000000000002,68.75800000000001,88.658,1.2789900143231672
module.model.3.0.weight,0.2,68.624,88.694,1.2822571013654989
module.model.3.0.weight,0.25,68.67,88.68199999999999,1.282615157414456
module.model.3.0.weight,0.30000000000000004,68.518,88.588,1.2892467534663732
module.model.3.0.weight,0.35000000000000003,67.944,88.198,1.3176141905845438
module.model.3.0.weight,0.4,67.07600000000001,87.592,1.3606802174935537
module.model.3.0.weight,0.45,66.292,87.08,1.398838756339891
module.model.3.0.weight,0.5,63.535999999999994,84.916,1.5421830947910038
module.model.3.0.weight,0.55,55.972,79.426,1.926352083683014
module.model.3.0.weight,0.6000000000000001,49.366,74.386,2.257041996839096
module.model.3.0.weight,0.65,48.048,73.212,2.325040654868496
module.model.3.0.weight,0.7000000000000001,30.689999999999994,54.459999999999994,3.507102118462932
module.model.3.0.weight,0.75,10.877999999999998,24.165999999999997,5.56281669772401
module.model.3.0.weight,0.8,1.3680000000000025,4.393999999999998,8.326323484887885
module.model.3.0.weight,0.8500000000000001,0.544,1.8059999999999965,9.815310833405473
module.model.3.0.weight,0.9,0.18200000000000438,0.9099999999999997,13.185784787547837
module.model.3.3.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.3.3.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.3.3.weight,0.1,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.3.3.weight,0.15000000000000002,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.3.3.weight,0.2,68.798,88.68199999999999,1.2786542755000452
module.model.3.3.weight,0.25,68.702,88.626,1.280665907780734
module.model.3.3.weight,0.30000000000000004,68.71199999999999,88.664,1.2810910473368602
module.model.3.3.weight,0.35000000000000003,68.526,88.42999999999999,1.2934735260751773
module.model.3.3.weight,0.4,68.27,88.202,1.3084572222159836
module.model.3.3.weight,0.45,67.394,87.714,1.3428262625725902
module.model.3.3.weight,0.5,66.25,87.068,1.3950584964180481
module.model.3.3.weight,0.55,64.27199999999999,85.696,1.4908715408979625
module.model.3.3.weight,0.6000000000000001,62.007999999999996,84.14399999999999,1.6009342156502668
module.model.3.3.weight,0.65,57.702,80.756,1.8289204118203142
module.model.3.3.weight,0.7000000000000001,53.65800000000001,77.496,2.0352282855583703
module.model.3.3.weight,0.75,38.21600000000001,62.434,2.96654611825943
module.model.3.3.weight,0.8,30.588000000000005,53.80400000000001,3.5072048817362096
module.model.3.3.weight,0.8500000000000001,16.12,33.486000000000004,4.939005308005271
module.model.3.3.weight,0.9,3.9139999999999953,11.041999999999996,6.790020709135093
module.model.4.0.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.4.0.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.4.0.weight,0.1,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.4.0.weight,0.15000000000000002,68.80999999999999,88.68599999999999,1.2799866666295092
module.model.4.0.weight,0.2,68.464,88.508,1.2950602141874181
module.model.4.0.weight,0.25,68.16,88.336,1.310147205177618
module.model.4.0.weight,0.30000000000000004,67.312,87.816,1.3493794079641908
module.model.4.0.weight,0.35000000000000003,65.822,86.92999999999999,1.418363387791478
module.model.4.0.weight,0.4,63.31400000000001,85.11,1.544199301272023
module.model.4.0.weight,0.45,49.932,74.32799999999999,2.25903343363684
module.model.4.0.weight,0.5,47.831999999999994,71.83,2.4081438463561393
module.model.4.0.weight,0.55,35.378,58.611999999999995,3.2301597899320176
module.model.4.0.weight,0.6000000000000001,23.046,42.344,4.277958810329439
module.model.4.0.weight,0.65,11.736000000000002,24.770000000000003,5.595255637655453
module.model.4.0.weight,0.7000000000000001,6.4620000000000015,15.092000000000006,6.493082970988994
module.model.4.0.weight,0.75,2.980000000000005,7.850000000000001,7.390543626279252
module.model.4.0.weight,0.8,1.2880000000000003,4.090000000000005,8.141292010034837
module.model.4.0.weight,0.8500000000000001,0.28399999999999537,1.314000000000004,9.351791372104575
module.model.4.0.weight,0.9,0.17399999999999638,0.7340000000000013,9.655601805570171
module.model.4.3.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.4.3.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.4.3.weight,0.1,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.4.3.weight,0.15000000000000002,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.4.3.weight,0.2,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.4.3.weight,0.25,68.772,88.672,1.278667739611499
module.model.4.3.weight,0.30000000000000004,68.78800000000001,88.658,1.2790481819182022
module.model.4.3.weight,0.35000000000000003,68.802,88.702,1.2792539908265586
module.model.4.3.weight,0.4,68.684,88.668,1.2823197204543622
module.model.4.3.weight,0.45,68.58999999999999,88.592,1.2866979969703423
module.model.4.3.weight,0.5,68.55,88.57199999999999,1.2889668900443572
module.model.4.3.weight,0.55,68.23,88.402,1.300494069347576
module.model.4.3.weight,0.6000000000000001,67.46600000000001,87.94800000000001,1.3358544508109294
module.model.4.3.weight,0.65,66.57600000000001,87.25,1.3768161298060906
module.model.4.3.weight,0.7000000000000001,63.842,85.316,1.5061669180891948
module.model.4.3.weight,0.75,61.66400000000001,83.992,1.604002569402967
module.model.4.3.weight,0.8,56.44,80.23400000000001,1.8647478393145973
module.model.4.3.weight,0.8500000000000001,44.855999999999995,69.462,2.562575915638279
module.model.4.3.weight,0.9,23.653999999999996,43.416,4.509941361388382
module.model.5.0.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.5.0.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.5.0.weight,0.1,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.5.0.weight,0.15000000000000002,68.786,88.68,1.27891770507
module.model.5.0.weight,0.2,68.746,88.666,1.2795622900736572
module.model.5.0.weight,0.25,68.65,88.614,1.2846903452763756
module.model.5.0.weight,0.30000000000000004,68.506,88.33800000000001,1.2964735494888557
module.model.5.0.weight,0.35000000000000003,68.30199999999999,88.282,1.3045783675446792
module.model.5.0.weight,0.4,67.86,87.896,1.326381696882297
module.model.5.0.weight,0.45,67.32199999999999,87.494,1.355790282390555
module.model.5.0.weight,0.5,63.982000000000006,85.428,1.515469943686407
module.model.5.0.weight,0.55,57.814,80.926,1.8189733140930837
module.model.5.0.weight,0.6000000000000001,59.111999999999995,82.32,1.7313628205839477
module.model.5.0.weight,0.65,53.17799999999999,77.556,2.0385591177916047
module.model.5.0.weight,0.7000000000000001,37.522,62.284000000000006,3.033392504161719
module.model.5.0.weight,0.75,18.564000000000004,36.96,4.795940957507305
module.model.5.0.weight,0.8,6.481999999999999,15.612000000000004,6.5475006809039975
module.model.5.0.weight,0.8500000000000001,3.305999999999998,8.453999999999995,7.706256837260968
module.model.5.0.weight,0.9,2.5780000000000025,7.606000000000002,7.689396001854725
module.model.5.3.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.5.3.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.5.3.weight,0.1,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.5.3.weight,0.15000000000000002,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.5.3.weight,0.2,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.5.3.weight,0.25,68.78800000000001,88.68199999999999,1.2786264241654046
module.model.5.3.weight,0.30000000000000004,68.78800000000001,88.68199999999999,1.278625744946149
module.model.5.3.weight,0.35000000000000003,68.808,88.676,1.2786440847783667
module.model.5.3.weight,0.4,68.78999999999999,88.684,1.2784315444985226
module.model.5.3.weight,0.45,68.798,88.68599999999999,1.2796657508125107
module.model.5.3.weight,0.5,68.608,88.69200000000001,1.2842969961312347
module.model.5.3.weight,0.55,68.49799999999999,88.486,1.2911247218749957
module.model.5.3.weight,0.6000000000000001,68.19800000000001,88.25,1.3080240465244477
module.model.5.3.weight,0.65,67.52199999999999,87.94999999999999,1.3317784259513927
module.model.5.3.weight,0.7000000000000001,66.898,87.53999999999999,1.3593642390808285
module.model.5.3.weight,0.75,64.53999999999999,85.934,1.4714311455585518
module.model.5.3.weight,0.8,61.502,83.734,1.6213431987835432
module.model.5.3.weight,0.8500000000000001,51.284,75.652,2.164187585820958
module.model.5.3.weight,0.9,26.402000000000005,48.144,3.9177461996370444
module.model.6.0.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.6.0.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.6.0.weight,0.1,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.6.0.weight,0.15000000000000002,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.6.0.weight,0.2,68.78800000000001,88.68199999999999,1.2786264293351943
module.model.6.0.weight,0.25,68.792,88.696,1.2787416641201297
module.model.6.0.weight,0.30000000000000004,68.614,88.53800000000001,1.2878871310730367
module.model.6.0.weight,0.35000000000000003,68.24600000000001,88.412,1.30368923335051
module.model.6.0.weight,0.4,66.97,87.508,1.364079792280587
module.model.6.0.weight,0.45,64.482,85.912,1.4817780955713618
module.model.6.0.weight,0.5,62.12,84.19,1.5983109568454776
module.model.6.0.weight,0.55,55.202,79.002,1.9469622817574712
module.model.6.0.weight,0.6000000000000001,39.266,64.082,2.9313844113933794
module.model.6.0.weight,0.65,30.894,54.855999999999995,3.500355780124663
module.model.6.0.weight,0.7000000000000001,15.132000000000001,31.604,5.132444661490771
module.model.6.0.weight,0.75,5.547999999999997,13.622,7.131655260008209
module.model.6.0.weight,0.8,1.3920000000000043,4.420000000000002,9.420303505294187
module.model.6.0.weight,0.8500000000000001,0.38599999999999746,1.7900000000000027,10.128042510577615
module.model.6.0.weight,0.9,0.20400000000000418,0.9399999999999964,11.133823905672342
module.model.6.3.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.6.3.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.6.3.weight,0.1,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.6.3.weight,0.15000000000000002,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.6.3.weight,0.2,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.6.3.weight,0.25,68.78800000000001,88.68199999999999,1.2786264065272948
module.model.6.3.weight,0.30000000000000004,68.78800000000001,88.68199999999999,1.2786262368365209
module.model.6.3.weight,0.35000000000000003,68.786,88.68199999999999,1.2786566333807237
module.model.6.3.weight,0.4,68.762,88.654,1.279055852823112
module.model.6.3.weight,0.45,68.822,88.666,1.2788164296320506
module.model.6.3.weight,0.5,68.76400000000001,88.68,1.2804375979669242
module.model.6.3.weight,0.55,68.694,88.64,1.283335608031069
module.model.6.3.weight,0.6000000000000001,68.488,88.578,1.2876141237056993
module.model.6.3.weight,0.65,68.22200000000001,88.354,1.3035318194603427
module.model.6.3.weight,0.7000000000000001,67.56400000000001,87.89200000000001,1.334765085000164
module.model.6.3.weight,0.75,66.19999999999999,86.978,1.4000738041133298
module.model.6.3.weight,0.8,63.42,85.1,1.5389267041975132
module.model.6.3.weight,0.8500000000000001,59.35,81.902,1.7397106219919372
module.model.6.3.weight,0.9,41.794,65.64,2.7824689669876688
module.model.7.0.weight,0.0,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.7.0.weight,0.05,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.7.0.weight,0.1,68.78800000000001,88.68199999999999,1.2786264126094022
module.model.7.0.weight,0.15000000000000002,68.772,88.68199999999999,1.2785987321819574
module.model.7.0.weight,0.2,68.83399999999999,88.658,1.2785306762979958
module.model.7.0.weight,0.25,68.704,88.63799999999999,1.2798825116181858
module.model.7.0.weight,0.30000000000000004,68.604,88.5,1.2866320853330655
module.model.7.0.weight,0.35000000000000003,68.26,88.28399999999999,1.303393852954008
module.model.7.0.weight,0.4,67.672,87.886,1.3312595330026686
module.model.7.0.weight,0.45,66.29,86.98599999999999,1.3945102901483062
module.model.7.0.weight,0.5,64.27000000000001,85.7,1.4887347479864044
module.model.7.0.weight,0.55,60.82000000000001,83.14,1.6754936253537933
module.model.7.0.weight,0.6000000000000001,57.39000000000001,80.462,1.8633295626056439
module.model.7.0.weight,0.65,54.245999999999995,78.066,2.0313438712334135
module.model.7.0.weight,0.7000000000000001,50.414,74.57199999999999,2.275543692160625
module.model.7.0.weight,0.75,36.266,60.478,3.2196052798203048
module.model.7.0.weight,0.8,27.21,49.366,3.908435603793784
module.model.7.0.weight,0.8500000000000001,17.900000000000006,37.134,4.690888211435203
